test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 NB - accuracy 0.6977105263157894
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 KNN K=3 accuracy 0.6585526315789472
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 C45 - accuracy 0.5529736842105264
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=0.001 accuracy 0.4874210526315791
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=0.01 accuracy 0.4874210526315791
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=0.1 accuracy 0.4874210526315791
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=1.0 accuracy 0.7421842105263157
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=10.0 accuracy 0.7710263157894738
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=100 accuracy 0.7360263157894735
vectors_200_cosine_2_1 Classification Cities 0.929245283018868 SVM C=1000 accuracy 0.7360263157894735
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 NB - accuracy 0.5914596136962248
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 KNN K=3 accuracy 0.6719710272168569
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 C45 - accuracy 0.6236413520632134
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=0.001 accuracy 0.670632133450395
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=0.01 accuracy 0.670632133450395
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=0.1 accuracy 0.670632133450395
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=1.0 accuracy 0.7325065847234417
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=10.0 accuracy 0.7089486391571553
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=100 accuracy 0.6603226514486391
vectors_200_cosine_2_1 Classification MetacriticMovies 0.337 SVM C=1000 accuracy 0.6143437225636524
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 NB - accuracy 0.48
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 KNN K=3 accuracy 0.5741666666666666
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 C45 - accuracy 0.4774999999999998
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=0.001 accuracy 0.55
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=0.01 accuracy 0.55
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=0.1 accuracy 0.55
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=1.0 accuracy 0.57
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=10.0 accuracy 0.6316666666666666
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=100 accuracy 0.5625000000000001
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.023125 SVM C=1000 accuracy 0.5591666666666668
vectors_200_cosine_2_1 Classification AAUP 0.95 NB - accuracy 0.6234424271380795
vectors_200_cosine_2_1 Classification AAUP 0.95 KNN K=3 accuracy 0.618615623506928
vectors_200_cosine_2_1 Classification AAUP 0.95 C45 - accuracy 0.5418717152412805
vectors_200_cosine_2_1 Classification AAUP 0.95 SVM C=0.001 accuracy 0.5504300047778311
vectors_200_cosine_2_1 Classification AAUP 0.95 SVM C=0.01 accuracy 0.5504300047778311
vectors_200_cosine_2_1 Classification AAUP 0.95 SVM C=0.1 accuracy 0.5505398948877211
